time,min_front,min_left,min_right,vx_raw,vx_safe,scale_fwd_actual,vy_raw,vy_safe,scale_lat_actual,level_front,level_left,level_right,scale_fwd_theory,scale_lat_theory
1783261370.726,0.413,0.350,2.147,0.000,0.000,N/A,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
1783261371.226,0.405,0.355,2.137,0.000,0.000,N/A,0.000,0.000,N/A,WARNING,WARNING,SAFE,0.50,1.00
1783261371.726,0.407,0.354,2.154,0.000,0.000,N/A,0.000,0.000,N/A,WARNING,WARNING,SAFE,0.50,1.00
1783261372.226,0.405,0.347,2.158,0.000,0.000,N/A,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
1783261372.726,0.400,0.357,2.152,0.000,0.000,N/A,0.000,0.000,N/A,WARNING,WARNING,SAFE,0.50,1.00
1783261373.226,0.412,0.357,2.152,0.000,0.000,N/A,0.000,0.000,N/A,WARNING,WARNING,SAFE,0.50,1.00
1783261373.726,0.398,0.350,2.141,0.604,0.302,0.500,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
1783261374.226,0.386,0.345,1.979,0.604,0.000,0.000,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
1783261374.726,0.392,0.346,1.983,0.604,0.000,0.000,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
1783261375.226,0.388,0.343,1.989,0.604,0.000,0.000,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
1783261375.726,0.396,0.340,1.998,0.604,0.000,0.000,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
1783261376.226,0.397,0.340,1.987,0.604,0.000,0.000,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
1783261376.726,0.389,0.345,1.984,0.604,0.000,0.000,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
1783261377.226,0.379,0.338,1.921,0.604,0.302,0.500,0.000,0.000,N/A,WARNING,DANGER,SAFE,0.50,1.00
