trial,goal_x,goal_y,goal_yaw,actual_x,actual_y,actual_yaw,error_pos_cm,error_yaw_deg,duration_s,nav_ok,pose_ok,result
1,-8.608,0.037,180.0,-8.5753,-0.0176,179.77,6.37,0.232,35.3,1,1,PASS
2,-5.877,1.667,90.0,-5.9494,1.6575,89.66,7.30,0.341,48.2,1,1,PASS
3,-8.797,4.625,0.0,-8.7018,4.5273,1.64,13.64,1.645,21.0,1,0,POSE_FAIL
4,-3.607,0.839,-135.0,-3.6080,0.8770,-129.26,3.80,5.741,50.8,1,1,PASS
5,-4.698,-0.621,0.0,-4.6914,-0.5472,0.52,7.41,0.516,49.5,1,1,PASS
6,-1.758,-1.478,90.0,-1.8351,-1.4567,89.39,8.00,0.606,46.7,1,1,PASS
7,1.937,-0.023,180.0,1.9378,-0.0281,-172.63,0.52,7.373,71.9,1,1,PASS
8,5.653,1.462,-135.0,5.5241,1.5710,-133.69,16.88,1.309,41.0,1,0,POSE_FAIL
9,8.742,-5.802,180.0,8.7629,-5.7532,179.13,5.31,0.873,56.6,1,1,PASS
10,6.776,0.028,180.0,6.7726,0.0499,-172.58,2.21,7.419,67.2,1,1,PASS
11,3.518,1.42,-45.0,3.5908,1.4748,-45.10,9.11,0.104,46.6,1,1,PASS
12,-0.944,0.334,135.0,-0.8968,0.3633,136.16,5.56,1.165,49.7,1,1,PASS
13,-5.422,-0.211,135.0,-5.3780,-0.1544,136.16,7.17,1.156,46.6,1,1,PASS
14,-4.144,6.085,180.0,-4.1537,6.0781,-174.94,1.19,5.063,49.1,1,1,PASS
15,-5.278,-0.023,-135.0,-5.4115,0.0968,-134.74,17.94,0.263,37.4,1,0,POSE_FAIL
16,-2.004,-0.739,-135.0,,,,,,90.0,0,0,NAV_FAIL
17,-5.699,1.768,-90.0,-5.6967,1.7788,-83.46,1.10,6.544,46.4,1,1,PASS
18,-4.384,-1.284,135.0,-4.3367,-1.2535,134.96,5.63,0.043,15.1,1,1,PASS
19,-6.855,-7.094,180.0,-6.8726,-6.9998,-179.90,9.58,0.105,60.6,1,1,PASS
20,-10.139,-2.234,-90.0,,,,,,90.0,0,0,NAV_FAIL
21,-10.717,0.152,-135.0,-10.7201,0.1676,-127.88,1.59,7.119,43.5,1,1,PASS
22,-3.893,-2.866,180.0,,,,,,90.0,0,0,NAV_FAIL
23,0.443,-0.969,-45.0,0.3516,-0.9944,-43.26,9.49,1.742,33.4,1,1,PASS
24,-3.697,1.434,0.0,-3.6938,1.4161,4.31,1.82,4.310,46.1,1,1,PASS
25,1.012,4.949,-135.0,0.9254,5.0868,-134.06,16.28,0.937,77.3,1,0,POSE_FAIL
26,-0.73,-2.543,180.0,-0.7052,-2.4846,-179.66,6.35,0.337,75.7,1,1,PASS
27,-0.406,-5.546,180.0,-0.4040,-5.5494,-174.13,0.40,5.868,44.2,1,1,PASS
28,1.635,0.56,180.0,1.6221,0.4895,179.60,7.17,0.398,56.3,1,1,PASS
29,-5.241,0.814,180.0,-5.2491,0.7363,-179.95,7.81,0.054,33.7,1,1,PASS
30,-5.045,4.926,-135.0,-4.9394,4.9870,-134.84,12.20,0.161,42.6,1,0,POSE_FAIL
31,-4.723,-2.707,-45.0,-4.7311,-2.6984,-48.34,1.18,3.344,33.7,1,1,PASS
32,-6.427,-0.545,-45.0,-6.4259,-0.5121,-38.52,3.29,6.479,60.4,1,1,PASS
33,-4.093,5.883,45.0,-4.1396,5.9122,44.50,5.50,0.499,20.1,1,1,PASS
34,1.376,3.237,-90.0,,,,,,90.0,0,0,NAV_FAIL
35,1.766,-2.103,90.0,1.7698,-2.1116,96.12,0.94,6.123,36.2,1,1,PASS
36,-1.786,-4.094,-90.0,,,,,,90.0,0,0,NAV_FAIL
37,4.153,-1.506,45.0,4.0526,-1.5137,45.14,10.07,0.135,20.9,1,1,PASS
38,-0.478,-3.448,0.0,-0.5009,-3.4460,5.46,2.30,5.456,47.0,1,1,PASS
39,-5.306,1.942,-135.0,-5.2341,1.8446,-135.41,12.11,0.407,40.3,1,0,POSE_FAIL
40,-6.045,4.804,-45.0,-6.1159,4.7322,-45.21,10.09,0.213,43.8,1,1,PASS
41,-7.053,1.869,0.0,-7.1383,1.9384,-0.66,10.99,0.664,62.4,1,1,PASS
42,-7.825,5.749,180.0,-7.8220,5.7584,-174.03,0.99,5.966,60.2,1,1,PASS
43,-9.397,-1.857,180.0,-9.4296,-1.7521,-179.10,10.99,0.898,58.1,1,1,PASS
44,-7.728,0.128,-45.0,-7.8319,0.0757,-44.96,11.63,0.044,55.2,1,1,PASS
45,-9.367,3.396,180.0,,,,,,90.0,0,0,NAV_FAIL
46,-4.68,0.601,-135.0,-4.7046,0.6072,-130.02,2.54,4.975,76.5,1,1,PASS
47,-3.227,6.902,-135.0,-3.1657,6.8319,-140.17,9.31,5.167,47.8,1,1,PASS
48,-7.035,3.606,-90.0,-6.9389,3.6092,-91.21,9.61,1.207,57.4,1,1,PASS
49,-7.438,0.236,-90.0,-7.2980,0.2336,-89.10,14.00,0.904,37.9,1,0,POSE_FAIL
50,-7.595,5.653,45.0,-7.5773,5.6485,51.95,1.83,6.950,52.4,1,1,PASS
